Date,Day,City,Country,Region,Night,Lover Bodysuit,The Man Jacket,Lover Mic #1,Lover Guitar,Lover Mic #2,Fearless Dress,Fearless Mic,Red Shirt,Red Mic #1,Red Romper,WANEGBT Chant (Kam),Red Guitar,Red Mic #2,Speak Now Gown,Koi Fish Guitar,Speak Now Mic,Reputation Jumpsuit,Reputation Mic,Folklore Dress,Evermore Dress,Standing Ovation,Indie Sister Cloak,Indie Sister Mic,1989 Top,1989 Skirt,Left 1989 Boot,Right 1989 Boot,1989 Match,1989 Mic,TTPD Dress,TTPD Gloves,TTPD Choker,TTPD Mic #1,Broken Heart Set,Broken Heart Jacket,TTPD Mic #2,Surprise Song Dress,Midnights Fur,Midnights Shirt,Midnights Bodysuit,Karma Jacket,Midnights Mic,,Resources
6/22/24,Saturday,London,England,Europe,2,Pink & Orange,Orange,Pink & Orange,Pink,Pastel,Long Silver,Gold & Black,A Lot Going On,Red & Black,Red/Black 2.0,Do One Tosser,Black,Black Sparkles,Swirls,No,Purple Sparkles,Red & Black,Snake,Cream,Cream,134,Eggplant,Wood Grain,Purple,Pink,Pink,Purple,"Skirt-Left, Top-Right",Purple Metallic,I Love You,Sparkly Black,Black & Silver,TTPD,Graphite,Graphite-Black Trim,Silver,New Blue,Purple,Silver,Chevron,Magenta,Navy Sparkles,,
6/23/24,Sunday,London,England,Europe,3,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,Never Ever,Red & Black,Red/Black 2.0,Up Yours Wanker,Black,Black Sparkles,Purple,No,Purple Metallic,Red & Black,Snake,Green,Green,166,Eggplant,Wood Grain,Pink,Green,Pink,Green,"Top-Left, Skirt-Right",Green Ombre,I Love You,Sparkly Black,Black & Silver,TTPD,White-Silver,Silver-Black Trim,White,Pink,Purple,Iridescent,Chevron,Multicolor,Navy Sparkles,,
6/28/24,Friday,Dublin,Ireland,Europe,1,All Pink,Hot Pink,Pink & Orange,Pink,Pastel,Silver/Black/Gold,Gold & Black,I Bet You Think,Red & Black,Red/Black 2.0,Póg Mo Thóin,Black,Black Sparkles,Purple,No,Purple Metallic,Red & Black,Snake,Green,Green,148,Eggplant,Rain,Orange,Green,Green,Orange,"Skirt-Left, Top-Right",Green Ombre,I Love You,Sparkly Black,Black & Silver,TTPD,Graphite,Graphite-Black Trim,Silver,New Blue,Purple,Purple,Chevron,Multicolor,Navy Sparkles,,
6/29/24,Saturday,Dublin,Ireland,Europe,2,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Short Fringe,Gold & Black,Taylor's Version,Red & Black,Red/Black 2.0,The Neck Of Ye,Black,Black Sparkles,Blue,No,Purple Sparkles,Red & Black,Snake,Cream,Cream,187,Eggplant,Wood Grain,Yellow,Purple,Purple,Yellow,"Skirt-Left, Top-Right",Yellow Ombre,I Love You,Black,Black & Silver,TTPD,Black,Silver-Black Trim,White,Pink,Purple,Pink,Swirls,Blue,Navy Sparkles,,
6/30/24,Sunday,Dublin,Ireland,Europe,3,Blue & Gold,Black,Blue & Gold,Blue,Pastel,Silver/Black/Gold,Gold & Black,Ew,Red & Black,Red/Black 2.0,Bleeding Eejit,Black,Black Sparkles,Champagne,No,Purple Sparkles,Red & Black,Snake,Berry,Berry,192,Eggplant,Wood Grain,Green,Orange,Green,Orange,"Top-Left, Skirt-Right",Green Ombre,I Love You,Sparkly White,Pearl,TTPD,White-Silver,White-Silver Trim,Silver,Orange,Purple,Orchid,Chevron,Magenta,Navy Sparkles,,
7/4/24,Thursday,Amsterdam,Netherlands,Europe,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Silver/Black/Gold,Gold & Black,Trouble,Red & Black,Red/Black 2.0,Mij Niet Bellen,Black,Black Sparkles,Purple,No,Purple Metallic,Red & Black,Snake,Purple,Purple,144,Eggplant,Wood Grain,Blue,Orange,Orange,Blue,"Skirt-Left, Top-Right",Blue Ombre,I Love You,Sparkly Black,Black & Silver,TTPD,Graphite,Graphite-Black Trim,Silver,Orange,Purple,Silver,Chevron,Multicolor,Navy Sparkles,,
7/5/24,Friday,Amsterdam,Netherlands,Europe,2,Blue & Gold,Black,Blue & Gold,Blue,Pastel,Long Gold,Gold & Black,Taylor's Version,Red & Black,Red/Black 2.0,In Je Dromen,Black,Black Sparkles,Swirls,No,Purple Sparkles,Red & Black,Snake,Berry,Berry,165,Eggplant,Wood Grain,Green,Purple,Green,Purple,"Top-Left, Skirt-Right",Green Ombre,I Love You,Sparkly White,Pearl,TTPD,White-Silver,White-Silver Trim,White,New Blue,Purple,Blue,Chevron,Blue,Navy Sparkles,,
7/6/24,Saturday,Amsterdam,Netherlands,Europe,3,Pink & Orange,Orange,Pink & Orange,Pink,Pastel,Silver/Black/Gold,Gold & Black,A Lot Going On,Red & Black,Red/Black 2.0,Echt Niet,Black,Black Sparkles,Champagne,No,Purple Sparkles,Red & Black,Snake,Green,Green,176,Eggplant,Wood Grain,Orange,Pink,Pink,Orange,"Skirt-Left, Top-Right",Pink & Orange,I Love You,Sparkly Black,Black & Gold,TTPD,Black,Gold-Black Trim,Gold,Pink,Purple,Orchid,Chevron,Magenta,Navy Sparkles,,
7/9/24,Tuesday,Zurich,Switzerland,Europe,1,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Short Fringe,Gold & Black,Ew,Red & Black,Red/Black 2.0,Blas Mer Id Schueh,Black,Black Sparkles,Champagne,No,Purple Sparkles,Red & Black,Snake,Berry,Berry,70,Eggplant,Wood Grain,Blue,Green,Green,Blue,"Skirt-Left, Top-Right",Green Ombre,I Love You,Sparkly Black,Black & Silver,TTPD,Black,Graphite-Black Trim,Silver,Orange,Purple,Pink,Chevron,Magenta,Navy Sparkles,,
7/10/24,Wednesday,Zurich,Switzerland,Europe,2,Blue & Gold,Black,Blue & Gold,Blue,Pastel,Silver/Black/Gold,Gold & Black,Never Ever,Red & Black,Red/Black 2.0,Verreis,Black,Black Sparkles,Purple,No,Purple Metallic,Red & Black,Snake,Blue,Blue,93,Eggplant,Wood Grain,Purple,Yellow,Yellow,Purple,"Skirt-Left, Top-Right",Yellow Ombre,I Love You,Sparkly White,Pearl,TTPD,White-Silver,White-Silver Trim,White,Pink,Purple,Iridescent,Chevron,Blue,Navy Sparkles,,
7/13/24,Saturday,Milan,Italy,Europe,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Gold/Black Tiger,Gold & Black,I Bet You Think,Red & Black,Red/Black 2.0,Col Cazzo,Black,Black Sparkles,Swirls,No,Purple Sparkles,Red & Black,Snake,Berry,Berry,139,Eggplant,Wood Grain,Blue,Blue,Blue,Blue,Matching Set,Blue Ombre,Who's Afraid?,Sparkly White,Pearl,TTPD,White-Silver,White-Silver Trim,White,Orange,Purple,Silver,Chevron,Magenta,Navy Sparkles,,
7/14/24,Sunday,Milan,Italy,Europe,2,Pink & Orange,Orange,Pink & Orange,Pink,Pastel,Short Fringe,Gold & Black,Taylor's Version,Red & Black,Red/Black 2.0,Manco Morta,Black,Black Sparkles,Purple Waves,No,Purple Sparkles,Red & Black,Snake,Green,Green,129,Eggplant,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Pink & Orange,Who's Afraid?,Sparkly Black,Black & Silver,TTPD,Graphite,Graphite-Black Trim,Silver,New Blue,Purple,Orchid,Chevron,Blue,Navy Sparkles,,
7/17/24,Wednesday,Gelsenkirchen,Germany,Europe,1,All Pink,Hot Pink,Pink & Orange,Pink,Pastel,Short Fringe,Gold & Black,Ew,Red & Black,Red/Black 2.0,Kannste Knicken,Black,Black Sparkles,Champagne,No,Purple Sparkles,Red & Black,Snake,Cream,Cream,149,Eggplant,Wood Grain,Yellow,Yellow,Yellow,Yellow,Matching Set,Yellow Ombre,Who's Afraid?,Sparkly Black,Black & Silver,TTPD,Graphite,Graphite-Black Trim,Silver,Orange,Purple,Iridescent,Cutout,Multicolor,Navy Sparkles,,
7/18/24,Thursday,Gelsenkirchen,Germany,Europe,2,Blue & Gold,Black,Blue & Gold,Blue,Pastel,Gold/Black Tiger,Gold & Black,A Lot Going On,Red & Black,Red/Black 2.0,Träum Weiter,Black,Black Sparkles,Purple Waves,No,Purple Sparkles,Red & Black,Snake,Green,Green,156,Eggplant,Wood Grain,Purple,Purple,Purple,Purple,Matching Set,Purple Metallic,I Love You,Sparkly Black,Black & Silver,TTPD,Black,Silver-Black Trim,Silver,New Blue,Purple,Pink,Chevron,Blue,Navy Sparkles,,
7/19/24,Friday,Gelsenkirchen,Germany,Europe,3,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Silver/Black/Gold,Gold & Black,Never Ever,Red & Black,Red/Black 2.0,Zieh Leine,Black,Black Sparkles,Purple,No,Purple Metallic,Red & Black,Snake,Yellow,Yellow,161,Eggplant,Wood Grain,Blue,Pink,Blue,Pink,"Top-Left, Skirt-Right",Blue Ombre,Who's Afraid?,Sparkly White,Pearl,TTPD,White-Silver,White-Silver Trim,White,Pink,Purple,Purple,Swirls,Magenta,Navy Sparkles,,
7/23/24,Tuesday,Hamburg,Germany,Europe,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Silver/Black/Gold,Gold & Black,I Bet You Think,Red & Black,Red/Black 2.0,Im Leben Nicht,Black,Black Sparkles,Champagne,No,Purple Sparkles,Red & Black,Snake,Berry,Berry,156,Eggplant,Wood Grain,Yellow,Pink,Pink,Yellow,"Skirt-Left, Top-Right",Yellow Ombre,I Love You,Sparkly Black,Black & Silver,TTPD,White-Silver,Silver-Black Trim,White,Orange,Purple,Blue,Cutout,Multicolor,Navy Sparkles,,
7/24/24,Wednesday,Hamburg,Germany,Europe,2,Pink & Orange,Orange,Pink & Orange,Pink,Pastel,Gold/Black Tiger,Gold & Black,Ew,Red & Black,Red/Black 2.0,Auf Gar Keinen Fall,Black,Black Sparkles,Swirls,No,Purple Sparkles,Red & Black,Snake,Green,Green,190,Eggplant,Wood Grain,Purple,Blue,Blue,Purple,"Skirt-Left, Top-Right",Blue Ombre,Who's Afraid?,Black,Black & Silver,TTPD,Black,Gold-Black Trim,Gold,New Blue,Purple,Orchid,Chevron,Magenta,Navy Sparkles,,
7/27/24,Saturday,Munich,Germany,Europe,1,Blue & Gold,Black,Blue & Gold,Blue,Pastel,Short Fringe,Gold & Black,I Bet You Think,Red & Black,Red/Black 2.0,Verpiss Dich,Black,Black Sparkles,Purple,No,Purple Metallic,Red & Black,Snake,Green,Green,193,Eggplant,Wood Grain,Blue,Orange,Orange,Blue,"Skirt-Left, Top-Right",Blue Ombre,Who's Afraid?,Sparkly Black,Black & Silver,TTPD,Graphite,Graphite-Black Trim,Silver,Pink,Purple,Blue,Chevron,Magenta,Navy Sparkles,,
7/28/24,Sunday,Munich,Germany,Europe,2,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Long Silver,Gold & Black,Taylor's Version,Red & Black,Red/Black 2.0,Vergiss Es,Black,Black Sparkles,Champagne,No,Purple Sparkles,Red & Black,Snake,Berry,Berry,217,Eggplant,Wood Grain,Purple,Yellow,Purple,Yellow,"Top-Left, Skirt-Right",Yellow Ombre,I Love You,Sparkly Black,Black & Silver,TTPD,White-Silver,Silver-Black Trim,White,Orange,Purple,Silver,Cutout,Blue,Navy Sparkles,,
8/1/24,Thursday,Warsaw,Poland,Europe,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Silver/Black/Gold,Gold & Black,A Lot Going On,Red & Black,Red/Black 2.0,Nigdy Przenigdy,Black,Black Sparkles,Purple Waves,No,Purple Metallic,Red & Black,Snake,Cream,Cream,182,Eggplant,Wood Grain,Yellow,Pink,Yellow,Pink,"Top-Left, Skirt-Right",Yellow Ombre,Who's Afraid?,Sparkly White,Pearl,TTPD,White-Silver,White-Silver Trim,White,New Blue,Purple,Pink,Chevron,Blue,Navy Sparkles,,
8/2/24,Friday,Warsaw,Poland,Europe,2,All Pink,Hot Pink,Pink & Orange,Pink,Pastel,Gold/Black Tiger,Gold & Black,Ew,Red & Black,Red/Black 2.0,Żartujesz,Black,Black Sparkles,Swirls,No,Purple Sparkles,Red & Black,Snake,Green,Green,157,Eggplant,Wood Grain,Green,Blue,Green,Blue,"Top-Left, Skirt-Right",Green Ombre,I Love You,Black,Black & Gold,TTPD,Black,Gold-Black Trim,Gold,Orange,Purple,Iridescent,Cutout,Multicolor,Navy Sparkles,,
8/3/24,Saturday,Warsaw,Poland,Europe,3,Pink & Orange,Orange,Pink & Orange,Pink,Pastel,Short Fringe,Gold & Black,I Bet You Think,Red & Black,Red/Black 2.0,Chyba Śnisz,Black,Black Sparkles,Champagne,No,Purple Sparkles,Red & Black,Snake,Yellow,Yellow,153,Eggplant,Wood Grain,Pink,Purple,Purple,Pink,"Skirt-Left, Top-Right",Purple Metallic,Who's Afraid?,Sparkly Black,Black & Silver,TTPD,Graphite,Graphite-Black Trim,Silver,Pink,Purple,Purple,Chevron,Magenta,Navy Sparkles,,
8/15/24,Thursday,London,England,Europe,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Silver/Black/Gold,Gold & Black,A Lot Going On,Red & Black,Red/Black 2.0,Are You Mad,Black,Black Sparkles,Purple,No,Purple Metallic,Red & Black,Snake,Green,Green,172,Eggplant,Wood Grain,Green,Pink,Green,Pink,"Top-Left, Skirt-Right",Green Ombre,Who's Afraid?,Black,Black & Gold,TTPD,Black,Gold-Black Trim,Gold,New Blue,Purple,Blue,Chevron,Magenta,Navy Sparkles,,
8/16/24,Friday,London,England,Europe,2,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Long Gold,Gold & Black,Ew,Red & Black,Red/Black 2.0,What A Knobhead,Black,Black Sparkles,Champagne,No,Purple Sparkles,Red & Black,Snake,Cream,Cream,221,Eggplant,Wood Grain,Yellow,Blue,Yellow,Blue,"Top-Left, Skirt-Right",Yellow Ombre,I Love You,Sparkly White,Pearl,TTPD,White-Silver,White-Silver Trim,Silver Rhinestone,Pink,Purple,Silver,Moonstone,Blue,Navy Sparkles,,
8/17/24,Saturday,London,England,Europe,3,Blue & Gold,Black,Blue & Gold,Blue,Pastel,Gold/Black Tiger,Gold & Black,Trouble,Red & Black,Red/Black 2.0,Nah Bruv,Black,Black Sparkles,Blue,No,Purple Sparkles,Red & Black,Snake,Yellow,Yellow,317,Eggplant,Wood Grain,Orange,Purple,Purple,Orange,"Skirt-Left, Top-Right",Pink & Orange,Who's Afraid?,Sparkly Black,Black & Silver,TTPD,Graphite,Graphite-Black Trim,Silver,Orange,Purple,Orchid,Chevron,Multicolor,Navy Sparkles,,
8/19/24,Monday,London,England,Europe,4,All Pink,Hot Pink,Pink & Orange,Pink,Pastel,Long Silver,Gold & Black,Taylor's Version,Red & Black,Red/Black 2.0,Are You Having a Laugh,Black,Black Sparkles,Purple Waves,No,Purple Metallic,Red & Black,Snake,Blue,Blue,178,Eggplant,Wood Grain,Blue,Orange,Orange,Blue,"Skirt-Left, Top-Right",Blue Ombre,I Love You,Sparkly Black,Black & Silver,TTPD,Black,Silver-Black Trim,White,Pink,Purple,Pink,Moonstone,Magenta,Navy Sparkles,,
8/20/24,Tuesday,London,England,Europe,5,Pink & Orange,Orange,Pink & Orange,Pink,Pastel,Short Fringe,Gold & Black,I Bet You Think,Red & Black,Red/Black 2.0,Get Out Of My Pub,Black,Black Sparkles,Swirls,No,Purple Sparkles,Red & Black,Snake,Berry,Berry,228,Eggplant,Wood Grain,Pink,Yellow,Pink,Yellow,"Top-Left, Skirt-Right",Yellow Ombre,Who's Afraid?,Sparkly White,Pearl,TTPD,White-Silver,White-Silver Trim,Silver Rhinestone,Orange,Purple,Purple,Chevron,Blue,Navy Sparkles,,
10/18/24,Friday,Miami,USA,Southeast,1,Pink & Orange,Orange,Pink & Orange,Pink,Pastel,Blue/Silver,Blurple Sparkles,A Lot Going On,Red & Black,Red/Black 2.0,Pero Like Never,Black,Black Sparkles,Swirls,No,Purple Sparkles,Gold & Black,Snake,Berry,Berry,159,Eggplant,Wood Grain,Orange,Green,Orange,Green,"Top-Left, Skirt-Right",Green Ombre,Who's Afraid?,Sparkly White,Pearl,TTPD,White-Silver,White-Silver Trim,Silver Rhinestone,Beta Fish,Lavender,Purple Sequin,Moonstone,Magenta,Navy Sparkles,,
10/19/24,Saturday,Miami,USA,Southeast,2,Blue & Gold,Black,Blue & Gold,Blue,Pastel,Silver/Black/Gold,Gold & Black,Taylor's Version,Red & Black,Red/Black 2.0,Literally Never,Black,Black Sparkles,Teal Sparkles,No,Purple Sparkles,Gold & Black,Snake,Green,Green,201,Eggplant,Wood Grain,Yellow,Pink,Yellow,Pink,"Top-Left, Skirt-Right",Yellow Ombre,Who's Afraid?,Sparkly Black,Black & Gold,TTPD,Black,Gold-Black Trim,Gold,Blurple,Lavender,Blue/Silver Sequin,Chevron,Blue,Navy Sparkles,,
10/20/24,Sunday,Miami,USA,Southeast,3,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Gold/Black Tiger,Gold & Black,I Bet You Think,Red & Black,Red/Black 2.0,Irregardless No,Black,Black Sparkles,Purple,No,Purple Sparkles,Gold & Black,Snake,Yellow,Yellow,166,Eggplant,Wood Grain,Blue,Purple,Purple,Blue,"Top-Left, Skirt-Right",Purple Metallic,Who's Afraid?,White,Black & Silver,TTPD,White-Silver,Silver-Black Trim,Silver Rhinestone,Sunrise Blvd,Lavender,Orchid,Moonstone,Multicolor,Navy Sparkles,,
10/25/24,Friday,New Orleans,USA,Southeast,1,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Short Fringe,Gold & Black,Ew,Red & Black,Red/Black 2.0,Oh No Baby,Black,Black Sparkles,Purple Waves,No,Purple Metallic,Gold & Black,Snake,Yellow,Yellow,197,Eggplant,Wood Grain,Purple,Yellow,Green,Green,Not Matching,Yellow Ombre,I Love You,Sparkly White,Pearl,TTPD,White-Silver,White-Silver Trim,White,Rocketpop,Lavender,Blue/Silver Sequin,Chevron,Multicolor,Navy Sparkles,,
10/26/24,Saturday,New Orleans,USA,Southeast,2,All Pink,Hot Pink,Blurple Sparkles,Pink,Pastel,Blue/Silver,Gold & Black,Trouble,Red & Black,Red/Black 2.0,Uh Uh Ain't Gonna Happen,Black,Black Sparkles,Teal Sparkles,No,Purple Sparkles,Gold & Black,Snake,Berry,Berry,158,Eggplant,Wood Grain,Yellow,Yellow,Yellow,Yellow,Matching Set,Yellow Ombre,Who's Afraid?,Sparkly Black,Black & Gold,TTPD,Gold & Black,Gold-Black Trim,Gold,Orange,Lavender,Purple Sequin,Moonstone,Magenta,Navy Sparkles,,
10/27/24,Sunday,New Orleans,USA,Southeast,3,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Long Silver,Gold & Black,A Lot Going On,Red & Black,Red/Black 2.0,She Said What She Said,Black,Black Sparkles,Champagne,No,Purple Sparkles,Gold & Black,Snake,Green,Green,227,Eggplant,Wood Grain,Blue,Purple,Pink,Pink,Not Matching,Purple Metallic,I Love You,Sparkly Black,Black & Silver,TTPD,Black,Graphite-Black Trim,Silver Rhinestone,Blurple,Lavender,Orchid,Cutout,Blue,Navy Sparkles,,
11/1/24,Friday,Indianapolis,USA,Midwest,1,Blue & Gold,Black,Blue & Gold,Blue,Pastel,Gold/Black Tiger,Gold & Black,I Bet You Think,Red & Black,Red/Black 2.0,No Yeah No,Black,Black Sparkles,Purple,No,Purple Metallic,Gold & Black,Snake,Berry,Berry,218,Eggplant,Wood Grain,Pink,Pink,Pink,Pink,Matching Set,Pink & Orange,Who's Afraid?,Sparkly White,Pearl,TTPD,White-Silver,White-Silver Trim,White,Beta Fish,Lavender,Silver,Chevron,Blue,Navy Sparkles,,
11/2/24,Saturday,Indianapolis,USA,Midwest,2,Pink & Orange,Orange,Pink & Orange,Pink,Pastel,Blue/Silver,Gold & Black,Ew,Red & Black,Red/Black 2.0,Ope No,Black,Black Sparkles,Teal Sparkles,No,Purple Sparkles,Gold & Black,Snake,Green,Green,193,Eggplant,Wood Grain,Yellow,Orange,Yellow,Orange,"Top-Left, Skirt-Right",Yellow Ombre,I Love You,Sparkly Black,Black & Gold,TTPD,Gold & Black,Gold-Black Trim,Gold,Rocketpop,Lavender,Orchid,Moonstone,Magenta,Navy Sparkles,,
11/3/24,Sunday,Indianapolis,USA,Midwest,3,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Silver/Black/Gold,Gold & Black,A Lot Going On,Red & Black,Red/Black 2.0,Scram,Black,Black Sparkles,Swirls,No,Purple Metallic,Gold & Black,Snake,Yellow,Yellow,233,Eggplant,Wood Grain,Purple,Purple,Purple,Purple,Matching Set,Purple Metallic,Who's Afraid?,Sparkly Black,Black & Silver,TTPD,Black,Silver-Black Trim,Silver,Sunrise Blvd,Lavender,Purple Sequin,Cutout,Multicolor,Navy Sparkles,,
11/14/24,Thursday,Toronto,Canada,North America,1,Blue & Gold,Black,Blue & Gold,Blue,Pastel,Silver/Black/Gold,Gold & Black,Taylor's Version,Red & Black,Red/Black 2.0,Sorry About It,Black,Black Sparkles,Teal Sparkles,No,Purple Sparkles,Gold & Black,Snake,Cream,Cream,178,Eggplant,Wood Grain,Green,Blue,Green,Blue,"Top-Left, Skirt-Right",Green Ombre,I Love You,Sparkly Black,Black & Silver,White,Graphite,Graphite-Black Trim,Silver Rhinestone,Rocketpop,Lavender,Blue/Silver Sequin,Moonstone,Multicolor,Navy Sparkles,,
11/15/24,Friday,Toronto,Canada,North America,2,All Pink,Hot Pink,Pink & Orange,Purple,Pastel,Blue/Silver,Gold & Black,Trouble,Red & Black,Red/Black 2.0,Get Lost Bud,Black,Black Sparkles,Purple,No,Purple Sparkles,Gold & Black,Snake,Blue,Blue,184,Eggplant,Wood Grain,Purple,Pink,Pink,Purple,"Skirt-Left, Top-Right",Purple Metallic,Who's Afraid?,Sparkly White,Pearl,TTPD,White-Silver,White-Silver Trim,White,Blurple,Lavender,Purple Sequin,Cutout,Magenta,Navy Sparkles,,
11/16/24,Saturday,Toronto,Canada,North America,3,Pink & Orange,Orange,Pink & Orange,Pink,Pastel,Short Fringe,Gold & Black,I Bet You Think,Red & Black,Red/Black 2.0,Yeah No For Sure,Black,Black Sparkles,Purple Waves,No,Purple Sparkles,Gold & Black,Snake,Green,Green,230,Eggplant,Wood Grain,Blue,Orange,Orange,Blue,"Skirt-Left, Top-Right",Blue Ombre,I Love You,Sparkly Black,Black & Gold,TTPD,Black,Gold-Black Trim,Gold,Sunrise Blvd,Lavender,Orchid,Chevron,Blue,Navy Sparkles,,
11/21/24,Thursday,Toronto,Canada,North America,4,Purple Tassels,Indigo,Blurple Sparkles,Purple,Pastel,Long Gold,Gold & Black,Ew,Red & Black,Red/Black 2.0,Nah Ya Dust Fam,Black,Black Sparkles,Blue,No,Purple Sparkles,Gold & Black,Snake,Purple,Purple,162,Eggplant,Wood Grain,Yellow,Pink,Yellow,Pink,"Top-Left, Skirt-Right",Yellow Ombre,Who's Afraid?,Sparkly Black,Black & Silver,TTPD,White-Silver,Silver-Black Trim,White,Beta Fish,Lavender,Blue,Swirls,Blue,Navy Sparkles,,
11/22/24,Friday,Toronto,Canada,North America,5,Blue & Gold,Black,Blue & Gold,Blue,Pastel,Gold/Black Tiger,Gold & Black,Never Ever,Red & Black,Red/Black 2.0,Hoser Take Off Eh,Black,Black Sparkles,Champagne,No,Purple Sparkles,Gold & Black,Snake,Yellow,Yellow,166,Eggplant,Wood Grain,Orange,Purple,Orange,Purple,"Top-Left, Skirt-Right",Pink & Orange,I Love You,I Heart,Black & Silver,TTPD,Graphite,Graphite-Black Trim,Silver Rhinestone,Rocketpop,Lavender,Silver,Moonstone,Multicolor,Navy Sparkles,,
11/23/24,Saturday,Toronto,Canada,North America,6,Pink & Blue,Silver,Blurple Sparkles,Pink,Pastel,Silver/Black/Gold,Gold & Black,A Lot Going On,Red & Black,Red/Black 2.0,Ew David Eww,Black,Black Sparkles,Swirls,No,Purple Sparkles,Gold & Black,Snake,Berry,Berry,185,Eggplant,Wood Grain,Pink,Blue,Blue,Pink,"Skirt-Left, Top-Right",Blue Ombre,Who's Afraid?,Sparkly Black,Black & Gold,White,Gold & Black,Gold-Black Trim,Gold,Blurple,Lavender,Iridescent,Chevron,Magenta,Navy Sparkles,,
12/6/24,Friday,Vancouver,Canada,North America,1,Blue & Gold,Black,Blue & Gold,Blue,Pastel,Silver/Black/Gold,Gold & Black,Taylor's Version,Red & Black,Red/Black 2.0,Like Ever,Black,Black Sparkles,Champagne,No,Purple Sparkles,Gold & Black,Snake,Berry,Berry,153,Eggplant,Wood Grain,Yellow,Orange,Orange,Yellow,"Skirt-Left, Top-Right",Yellow Ombre,I Love You,Sparkly White,Pearl,TTPD,White-Silver,White-Silver Trim,White,Blurple,Lavender,Iridescent,Chevron,Magenta,Navy Sparkles,,
12/7/24,Saturday,Vancouver,Canada,North America,2,Blue & Gold,Black,Blue & Gold,Blue,Pastel,Silver/Black/Gold,Gold & Black,Taylor's Version,Red & Black,Red/Black 2.0,Like Ever,Black,Black Sparkles,Champagne,No,Purple Sparkles,Gold & Black,Snake,Berry,Berry,276,Eggplant,Wood Grain,Yellow,Orange,Orange,Yellow,"Skirt-Left, Top-Right",Yellow Ombre,I Love You,Sparkly White,Pearl,White,White-Silver,White-Silver Trim,White,Blurple,Lavender,Iridescent,Chevron,Magenta,Navy Sparkles,,
12/8/24,Sunday,Vancouver,Canada,North America,3,Blue & Gold,Black,Blue & Gold,Blue,Pastel,Silver/Black/Gold,Gold & Black,Taylor's Version,Red & Black,Red/Black 2.0,For The Last Time No,Black,Black Sparkles,Champagne,No,Purple Sparkles,Gold & Black,Snake,Berry,Berry,180,Eggplant,Wood Grain,Yellow,Orange,Yellow,Orange,"Top-Left, Skirt-Right",Yellow Ombre,I Love You,Sparkly White,Pearl,White,White-Silver,White-Silver Trim,White,Blurple,Lavender,Iridescent,Chevron,Magenta,Navy Sparkles,,